Product,Features,RAM/ROM,Operating System,SSD,Display,Warranty
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,Graphics & Keyboard: Integrated & Standard Keyboard,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border","Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border","Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
MSI Cyborg 15 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Intel Core Ultra 7 Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,1 TB SSD,1 TB SSD
MSI Cyborg 15 AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Intel Core Ultra 5 Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,1 TB SSD,1 TB SSD
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS Th...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lap...,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU Thin and Light Lap...,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
Lenovo AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) V15 G4 Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Lapt...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Lig...,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,512 GB SSD,512 GB SSD
